source,url_annonce,type_bien,prix,date_insertion,gouvernorat,delegation,localite,code_postal,superficie,titre_foncier,vue_mer,etat,standing,nb_chambres,nb_salles_bain,dressing,balcon,parking,piscine,chauffage_central,terrasse,jardin,niveau,climatisation
afariat,https://afariat.com/annonce-%C3%A0-nabeul/Immobilier/villa-tropical-mini-hammamet-691d7e5c768d8.html,Maison/Villa,650000,2025-11-19,Nabeul,Hammamet,Hammamet,8050,180,Non,Non,Non précisé,Haut standing,3,3,Oui,Oui,Oui,Oui,Oui,Oui,Oui,1,Oui
afariat,https://afariat.com/annonce-%C3%A0-nabeul/Immobilier/villa-patience-690b7da5dd436.html,Maison/Villa,890000,2025-11-05,Nabeul,Hammamet,à Hammamet zone Monchar,8050,340,Non,Non,Non précisé,Haut standing,4,4,Oui,Oui,Oui,Oui,Oui,Oui,Oui,1,Non
afariat,https://afariat.com/annonce-%C3%A0-nabeul/Immobilier/villa-saint-sebastien-6973f69e2fff2.html,Maison/Villa,100,2026-01-23,Nabeul,Hammamet,Hammamet,8050,300,Non,Non,Non précisé,Haut standing,5,3,Oui,Oui,Oui,Oui,Oui,Oui,Oui,1,Oui
afariat,https://afariat.com/annonce-%C3%A0-nabeul/Immobilier/villa-chopard-69412a0fa6581.html,Maison/Villa,1350000,2025-12-16,Nabeul,Hammamet,Hammamet,8050,367,Non,Non,Non précisé,Haut standing,5,5,Oui,Oui,Oui,Oui,Oui,Oui,Oui,1,Oui
afariat,https://afariat.com/annonce-%C3%A0-nabeul/Immobilier/villa-moscou-696669d93cded.html,Maison/Villa,750000,2026-01-13,Nabeul,Hammamet,Hammamet,8050,280,Non,Non,Non précisé,Haut standing,4,4,Oui,Oui,Oui,Oui,Oui,Oui,Oui,1,Oui
afariat,https://afariat.com/annonce-%C3%A0-nabeul/Immobilier/villa-bulgari-694129844502e.html,Maison/Villa,750000,2025-12-16,Nabeul,Hammamet,Hammamet,8050,220,Non,Non,Non précisé,Haut standing,4,2,Oui,Oui,Oui,Oui,Oui,Oui,Oui,1,Oui
afariat,https://afariat.com/annonce-%C3%A0-nabeul/Immobilier/villa-verde-691d80d62e6ba.html,Maison/Villa,830000,2025-11-19,Nabeul,Hammamet,Hammamet,8050,320,Non,Non,Non précisé,Haut standing,4,2,Oui,Oui,Oui,Oui,Oui,Oui,Oui,1,Non
afariat,https://afariat.com/annonce-%C3%A0-nabeul/Immobilier/villa-shadow-691d7f469adf9.html,Maison/Villa,750000,2025-11-19,Nabeul,Hammamet,Hammamet,8050,250,Non,Non,Non précisé,Haut standing,4,2,Oui,Oui,Oui,Oui,Oui,Oui,Oui,1,Non
afariat,https://afariat.com/annonce-%C3%A0-nabeul/Immobilier/villa-camelia-68e8ed413e6e7.html,Maison/Villa,680000,2025-10-10,Nabeul,Hammamet,Hammamet cote sud,8050,140,Non,Non,Non précisé,Haut standing,4,4,Oui,Oui,Oui,Oui,Oui,Oui,Oui,1,Oui
afariat,https://afariat.com/annonce-%C3%A0-nabeul/Immobilier/villa-romeo-690f4fa84a770.html,Maison/Villa,980000,2025-11-08,Nabeul,Hammamet,Hammamet cote sud,8050,300,Non,Non,Non précisé,Haut standing,4,3,Oui,Oui,Oui,Oui,Oui,Oui,Oui,1,Non
afariat,https://afariat.com/annonce-%C3%A0-nabeul/Immobilier/villa-ottawa-6979c128b666d.html,Maison/Villa,101,2026-01-28,Nabeul,Hammamet,Hammamet,8050,300,Non,Non,Non précisé,Haut standing,4,3,Oui,Oui,Oui,Oui,Oui,Oui,Oui,1,Oui
afariat,https://afariat.com/annonce-%C3%A0-nabeul/Immobilier/villa-sebastian-68dac71a778da.html,Maison/Villa,890000,2025-09-29,Nabeul,Hammamet,Hammamet cote sud,8050,325,Non,Non,Non précisé,Haut standing,4,2,Oui,Oui,Oui,Oui,Oui,Oui,Oui,1,Oui
afariat,https://afariat.com/annonce-%C3%A0-nabeul/Immobilier/villa-hector-690b7cbee575c.html,Maison/Villa,400000,2025-11-05,Nabeul,Hammamet,Hammamet cote sud,8050,150,Non,Non,Non précisé,Haut standing,3,,Non,Oui,Oui,Oui,Oui,Oui,Oui,1,Oui
afariat,https://afariat.com/annonce-%C3%A0-nabeul/Immobilier/villa-diamant-pied-dans-leau-68e8eaf10836a.html,Maison/Villa,520000,2025-10-10,Nabeul,Béni Khiar,el maamoura,8013,150,Non,Non,Non précisé,Non précisé,2,1,Oui,Oui,Oui,Non,Non,Oui,Oui,1,Non
afariat,https://afariat.com/annonce-%C3%A0-nabeul/Immobilier/villa-philadelphie-6934218bb0c88.html,Maison/Villa,820000,2025-12-06,Nabeul,Hammamet,Hammamet cote sud,8050,250,Non,Non,Non précisé,Haut standing,5,2,Oui,Oui,Oui,Oui,Oui,Oui,Oui,1,Oui
