source,url_annonce,type_bien,gouvernorat,delegation,localite,code_postal,prix,surface,date_insertion,nbre_pieces,etage,nbre_chambres,nbre_sdb,ascenseur,parking,meuble,climatisation,chauffage_central,jardin,balcon,standing,syndic,piscine,dressing,vue_mer,titre_foncier,etat
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-a-vendre-a-kelibia/,Appartement,Nabeul,kélibia,kélibia,8090,85000,75,27 février 2026,,,1,1,,,,,,,,,,,,Oui,Bleu,
behya.tn,https://www.behya.tn/tunisie-annonces/vente-appartement-2/,Appartement,Tunis,Immeuble N°31 Rue Italie,Immeuble N°31 Rue Italie,1000,299999,,26 février 2026,,,,,,,,,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-4/,Appartement,Ben Arous,ezzahra,ezzahra,2034,350,144,17 février 2026,S+3,1,3,,Oui,Oui,,,,,,Haut,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-34/,Appartement,Ben Arous,ben arous,ben arous,2013,185,,12 février 2026,S+2,,2,,Oui,,,,,,,Moyen,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/a-vendre-s3-aux-5eme-etage-dans-une-residence-calme-et-vue-mer/,Appartement,Sousse,chott meriem,chott meriem,4000,460000,155,23 janvier 2026,S3,5,3,,Oui,,,Oui,Oui,,,,,,Oui,Oui,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-31/,Appartement,Ben Arous,EZZAHRA,EZZAHRA,2034,340,120,3 janvier 2026,S3,1,3,,,Oui,,,,,,Haut,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-30/,Appartement,Ben Arous,ezzahra,ezzahra,2034,340,120,1 janvier 2026,S3,1,3,,,Oui,,,,,,Haut,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-29/,Appartement,Ben Arous,Ezzahra,Ezzahra,2034,340,120,1 janvier 2026,S3,1,3,,,Oui,,,,,,Haut,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/a-vendre-duplex-s2-vue-mer-au-golden-tulip-gammarth/,Appartement,Tunis,Gammarth,Gammarth,1000,820000,140,5 décembre 2025,S+2,RDC,2,1,,Oui,,Oui,,,,,,,Oui,Oui,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2hst/,Appartement,Ben Arous,megrine coteaux,megrine coteaux,2013,320000,130,25 septembre 2025,,,,,,,,,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-hst-10/,Appartement,Ben Arous,ezzahra,ezzahra,2034,320,130,16 septembre 2025,S+2,,2,,,,,,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s4-sousse-khezama-ennakhil-169m%c2%b2-24m%c2%b2-terrasse/,Appartement,Sousse,Ennakhil,Ennakhil,4000,539000,169,28 juillet 2025,S+4,,4,1,,,,,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s4-sousse-khezama-ennakhil-169m%c2%b2-24m%c2%b2-terrasse-2/,Appartement,Sousse,Avenue Ennakhil Khézama,Avenue Ennakhil Khézama,4000,529000,169,28 juillet 2025,S+4,,4,1,,,,,,,Oui,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-hst-13/,Appartement,Ben Arous,Rades meliane,Rades meliane,2013,320,165,10 juillet 2025,S+3,,3,1,Oui,Oui,,Oui,Oui,,Oui,Haut,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-hst-12/,Appartement,Ben Arous,ezzahra,ezzahra,2034,3600000,144,8 juillet 2025,S+3,,3,1,Oui,Oui,,Oui,Oui,,Oui,Haut,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-28/,Appartement,Ben Arous,chouchet rades,chouchet rades,2013,150000,,2 juillet 2025,S+2,,2,,,Oui,,,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s1-10/,Appartement,Ben Arous,chouchet rades,chouchet rades,2013,1,,2 juillet 2025,S+1,,1,,,Oui,,,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/a-vendre-appartement-s2-vue-mer-nabeul/,Appartement,Nabeul,RÉSIDENCE LE FORT 1,RÉSIDENCE LE FORT 1,8000,350000,,28 juin 2025,S2,,2,1,,Oui,,,,,,,,,,Oui,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-25/,Appartement,Ben Arous,rades,rades,2040,150000,,20 juin 2025,S+2,,2,,,Oui,,,,,,,,,,,,
