source,url_annonce,type_bien,gouvernorat,delegation,localite,code_postal,prix,surface,date_insertion,nbre_chambres,nbre_sdb,niveau,piscine,jardin,garage,parking,balcon,climatisation,chauffage_central,dressing,titre_foncier,etat,standing,vue_mer,terrasse
behya.tn,https://www.behya.tn/tunisie-annonces/vente-villa-7/,Maison/Villa,Ben Arous,zahra,zahra,2013,850000,561,23 mars 2026,3,,,Oui,,,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/vente-villa-8/,Maison/Villa,Ben Arous,borj cedria,borj cedria,ben arous,750,420,23 mars 2026,,1,,Oui,Oui,Oui,,,,,,,,Haut,,
behya.tn,https://www.behya.tn/tunisie-annonces/vente-villa-5/,Maison/Villa,Ben Arous,zahra,zahra,2013,850000,561,18 mars 2026,3,,,Oui,,,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/vente-magnifique-villa/,Maison/Villa,Ben Arous,zahra,zahra,2013,850,561,13 mars 2026,3,,,Oui,,,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-pour-la-vente-2/,Maison/Villa,Ben Arous,ezzahra,ezzahra,2034,8500000,561,11 mars 2026,3,,,Oui,,,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/vente-villa-a-zahra/,Maison/Villa,Ben Arous,zahra,zahra,2013,850,561,11 mars 2026,3,,,Oui,,,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/vente-villa-4/,Maison/Villa,Ben Arous,sid rzig,sid rzig,2013,750,,11 mars 2026,,,,,Oui,,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/vente-villa-3/,Maison/Villa,Ben Arous,borj cedria,borj cedria,ben arous,750,420,6 mars 2026,,1,,Oui,Oui,Oui,,,,,,,,Haut,,
behya.tn,https://www.behya.tn/tunisie-annonces/vente-villa-2/,Maison/Villa,Ben Arous,megrine jawhra,megrine jawhra,2013,288,,5 mars 2026,,,,,,Oui,,,,Oui,,,Neuf,,,
behya.tn,https://www.behya.tn/tunisie-annonces/vente-villa/,Maison/Villa,Ben Arous,borj cedria,borj cedria,ben arous,750,420,5 mars 2026,,1,,Oui,Oui,Oui,,,,,,,,Haut,,
behya.tn,https://www.behya.tn/tunisie-annonces/maison-independante-a-vendre-2/,Maison/Villa,Nabeul,kerkouane,kerkouane,8000,235000,155,27 février 2026,2,1,,,Oui,,,,,,,Bleu,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/maison-avec-un-garage-a-vendre/,Maison/Villa,Nabeul,dar allouch,dar allouch,8000,125000,326,27 février 2026,3,1,,,,Oui,,,,,,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-a-el-haouaria/,Maison/Villa,Nabeul,el haouaria,el haouaria,8000,350000,270,27 février 2026,2,1,2,,,,,,Oui,,,Bleu,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/deux-maisons-a-vendre-2/,Maison/Villa,Nabeul,kerkouane,kerkouane,8000,500000,240,27 février 2026,2,1,,,Oui,,,,,,,Bleu,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/maison-independante-avec-deux-garages/,Maison/Villa,Nabeul,dar allouch,dar allouch,8000,180000,330,27 février 2026,2,1,,,,Oui,,,,,,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/maison-avec-piscine-a-vendre/,Maison/Villa,Nabeul,azmour,azmour,8000,150000,800,27 février 2026,2,,,Oui,Oui,,,,,,,Bleu,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/maison-independante-a-vendre/,Maison/Villa,Nabeul,hamam el ghezaz,hamam el ghezaz,8000,150000,137,27 février 2026,2,1,,,,,,,,,,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/maison-independante-pres-de-la-route-principal/,Maison/Villa,Nabeul,dar allouche,dar allouche,8000,200000,325,27 février 2026,2,1,,,,,,,,,,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/maison-independante-a-kelibia/,Maison/Villa,Nabeul,kélibia,kélibia,8090,150000,254,27 février 2026,3,1,,,,,,,,,,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/maison-independante-avec-un-garage-a-kelibia/,Maison/Villa,Nabeul,kélibia,kélibia,8090,250000,137,27 février 2026,2,1,,,,Oui,,,,,,Bleu,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/maison-style-americain-pres-de-la-mer/,Maison/Villa,Nabeul,dar allouche,dar allouche,8000,250000,180,27 février 2026,3,1,,,,,,,,,,Bleu,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/maison-independante-pres-de-la-mer/,Maison/Villa,Nabeul,dar allouch,dar allouch,8000,160000,100,27 février 2026,2,1,,,,,,,Oui,,,Bleu,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/maison-independante-avec-un-garage/,Maison/Villa,Nabeul,dar allouch,dar allouch,8000,200000,151,27 février 2026,,1,,,,Oui,,,,,,Bleu,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/vente-villa-a-borj-cedria-2/,Maison/Villa,Ben Arous,borj cedria,borj cedria,ben arous,750,420,25 février 2026,,1,,Oui,Oui,Oui,,,,,,,,Haut,,
behya.tn,https://www.behya.tn/tunisie-annonces/vente-villa-a-borj-cedria-3/,Maison/Villa,Ben Arous,borj cedria,borj cedria,ben arous,750,420,25 février 2026,,1,,Oui,Oui,Oui,,,,,,,,Haut,,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-en-u-et-piscine-privee-a-houmt-souk-djerba-p-653/,Maison/Villa,Medenine,Houmt Souk Djerba,Houmt Souk Djerba,6100,0,500,24 janvier 2026,1,1,,Oui,,,,,,,Oui,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-cle-en-main-avec-piscine-a-djerba-tunisie-p-652/,Maison/Villa,Medenine,Houmt Souk Djerba,Houmt Souk Djerba,6100,0,169,24 janvier 2026,2,1,Plain-pied,Oui,,,,,,,Oui,Bleu,,,,
