source_site,code_annonce,url_annonce,nature,type_bien,gouvernorat,delegation,localite,code_postal,prix,superficie_m2,date_publication,titre_foncier,etat,standing,nb_chambres,nb_sdb,dressing,balcon,vue_mer,parking,piscine,chauffage_central,climatisation,jardin,terrasse,niveau_maison,etage_appart,ascenseur,syndic,terrain_viabilise,constructible,dimensions_terrain,zone,facade,acces_route,acces_electricite,acces_eau,vocation,metadata
afariat,69bb2ec14f628,https://afariat.com/annonce-%C3%A0-m%C3%A9denine/Maisons-et-enfants/souffleur-sans-fil-turbo-48v-69bb2ec14f628.html,Vente,Autre,,,,,95.0,,2026-03-19 00:32:52.275791,,,Standard,,,False,False,False,False,False,False,False,False,False,,,False,False,,,,,False,False,False,False,,"{""title"": ""Souffleur sans fil turbo 48v"", ""location_raw"": ""Médenine"", ""price_raw"": ""95 DT"", ""description"": ""Type""}"
afariat,69bb2e745f46e,https://afariat.com/annonce-%C3%A0-m%C3%A9denine/Multimedia/chargeur-sans-fil-3-en-1-69bb2e745f46e.html,Vente,Autre,,,,,45.0,,2026-03-19 00:33:45.446228,,,Standard,,,False,False,False,False,False,False,False,False,False,,,False,False,,,,,False,False,False,False,,"{""title"": ""Chargeur sans fil 3 en 1"", ""location_raw"": ""Médenine"", ""price_raw"": ""45 DT"", ""description"": ""Type""}"
afariat,69bb2e2c15b82,https://afariat.com/annonce-%C3%A0-m%C3%A9denine/V%C3%AAtements-et-objets-personnels/pack-seche-cheveux-smooth-pro2100-brosse-soufflante-smooth-finish-69bb2e2c15b82.html,Vente,Autre,,,,,185.0,,2026-03-19 00:34:38.589457,,,Standard,,,False,False,False,False,False,False,False,False,False,,,False,False,,,,,False,False,False,False,,"{""title"": ""Pack sèche-cheveux smooth pro2100+brosse soufflante smooth finish"", ""location_raw"": ""Médenine"", ""price_raw"": ""185 DT"", ""description"": ""Type""}"
afariat,69bb2d72b16d7,https://afariat.com/annonce-%C3%A0-m%C3%A9denine/V%C3%AAtements-et-objets-personnels/seche-cheveux-babyliss-denim-luxe-2200w-bleu-69bb2d72b16d7.html,Vente,Autre,,,,,160.0,,2026-03-19 00:35:30.260608,,,Standard,,,False,False,False,False,False,False,False,False,False,,,False,False,,,,,False,False,False,False,,"{""title"": ""Sèche cheveux babyliss denim luxe 2200w bleu"", ""location_raw"": ""Médenine"", ""price_raw"": ""160 DT"", ""description"": ""Type""}"
afariat,69bb10b9c4d9f,https://afariat.com/annonce-%C3%A0-m%C3%A9denine/Autres/tondeuse-a-moutons-sans-fil-69bb10b9c4d9f.html,Vente,Autre,,,,,285.0,,2026-03-19 00:36:27.914621,,,Standard,,,False,False,False,False,False,False,False,False,False,,,False,False,,,,,False,False,False,False,,"{""title"": ""Tondeuse à moutons sans fil"", ""location_raw"": ""Médenine"", ""price_raw"": ""285 DT"", ""description"": ""Type""}"
afariat,69bb107660915,https://afariat.com/annonce-%C3%A0-m%C3%A9denine/Maisons-et-enfants/robot-multifonctions-600w-marque-raf-69bb107660915.html,Vente,Autre,,,,,85.0,,2026-03-19 00:37:23.097981,,,Standard,,,False,False,False,False,False,False,False,False,False,,,False,False,,,,,False,False,False,False,,"{""title"": ""Robot multifonctions 600w marque raf"", ""location_raw"": ""Médenine"", ""price_raw"": ""85 DT"", ""description"": ""Type""}"
afariat,69bb1020b0e49,https://afariat.com/annonce-%C3%A0-m%C3%A9denine/Maisons-et-enfants/robot-patissier-sur-socle-kam-5-litres-1300-watts-6-vitesses-69bb1020b0e49.html,Vente,Autre,,,,,270.0,,2026-03-19 00:38:17.019525,,,Standard,,,False,False,False,False,False,False,False,False,False,,,False,False,,,,,False,False,False,False,,"{""title"": ""Robot pâtissier sur socle kam 5 litres 1300 watts 6 vitesses"", ""location_raw"": ""Médenine"", ""price_raw"": ""270 DT"", ""description"": ""Type""}"
afariat,69bb0faf1b6f0,https://afariat.com/annonce-%C3%A0-m%C3%A9denine/Loisirs/ensemble-de-table-et-tabourets-pliants-69bb0faf1b6f0.html,Vente,Autre,,,,,95.0,,2026-03-19 00:39:13.100208,,,Standard,,,False,False,False,False,False,False,False,False,False,,,False,False,,,,,False,False,False,False,,"{""title"": ""Ensemble de table et tabourets pliants"", ""location_raw"": ""Médenine"", ""price_raw"": ""95 DT"", ""description"": ""Type""}"
afariat,69baf8153513b,https://afariat.com/annonce-%C3%A0-sfax/Multimedia/xbox-360-a-vendre-69baf8153513b.html,Vente,Autre,Sfax,,,,360.0,,2026-03-19 00:40:07.305872,,,Standard,,,False,False,False,False,False,False,False,False,False,,,False,False,,,,,False,False,False,False,,"{""title"": ""Xbox 360 a vendre"", ""location_raw"": ""Sfax"", ""price_raw"": ""360 DT"", ""description"": ""Type""}"
afariat,6998ecd69b720,https://afariat.com/annonce-%C3%A0-tunis/Immobilier/particulier-l-apt-s4-meuble-neuf-cite-palmeraies-laouina-6998ecd69b720.html,Vente,Autre,Tunis,,,,2100.0,200.0,2026-03-19 00:40:58.531998,,,Standard,4.0,,False,False,False,False,False,False,False,False,False,,,False,False,,,,,False,False,False,False,,"{""title"": ""Particulier l apt s4 meublé neuf cité palmeraies l'aouina"", ""location_raw"": ""Tunis"", ""price_raw"": ""2100 DT"", ""description"": ""Type""}"
