source_site,site_url,title,price_numeric,price_text,property_type,location,city,region,link,publication_date,with_photo,description,metadata
tayara,https://www.tayara.tn,"A vendre Local Commercial de 65,23 m² au RDC – Résidence FIRST",,Prix non spécifié,Immobilier,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/tunis/tunis/a-vendre-local-commercial-de-6523-m-au-rdc-rsidence-first/692dbc1d265523b710ee0a86/,2026-02-25 13:14:11.904393,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:11.904393""}"
tayara,https://www.tayara.tn,A VENDRE – Appartement S+1 Haut Standing au 1 er étage – Résidence FIRST,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/tunis/la-goulette/a-vendre-appartement-s1-haut-standing-au-1-er-tage-rsidence-first/692da163145e1617cbaed17d/,2026-02-25 13:14:12.771488,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:12.771488""}"
tayara,https://www.tayara.tn,A VENDRE – Appartement S+1 Haut Standing au 2éme étage – Résidence FIRST,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/tunis/la-goulette/a-vendre-appartement-s1-haut-standing-au-2me-tage-rsidence-first/692db729145e1617cbaedd8d/,2026-02-25 13:14:13.576919,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:13.576919""}"
tayara,https://www.tayara.tn,"A vendre Local Commercial de 86,86 m² au RDC – Résidence FIRST",,Prix non spécifié,Immobilier,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/tunis/la-goulette/a-vendre-local-commercial-de-8686-m-au-rdc-rsidence-first/692dbcf5265523b710ee0af7/,2026-02-25 13:14:14.451826,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:14.451826""}"
tayara,https://www.tayara.tn,A VENDRE – Appartement S+3 Haut Standing au 2 éme étage – Résidence FIRST,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/tunis/le-kram/a-vendre-appartement-s3-haut-standing-au-2-me-tage-rsidence-first/692da41b145e1617cbaed2af/,2026-02-25 13:14:15.094428,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:15.094428""}"
tayara,https://www.tayara.tn,"A vendre Local Commercial de 102,23 m² au RDC – Résidence FIRST",,Prix non spécifié,Immobilier,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/tunis/le-kram/a-vendre-local-commercial-de-10223-m-au-rdc-rsidence-first/692dbdfa145e1617cbaee1a2/,2026-02-25 13:14:15.811467,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:15.811467""}"
tayara,https://www.tayara.tn,S +3 Situé Au 1er étage,,Prix non spécifié,Immobilier,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/tunis/el-menzah-9/s-3-situ-au-1er-tage/68e8f55f53fa637575795333/,2026-02-25 13:14:16.645652,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:16.645652""}"
tayara,https://www.tayara.tn,S +3 Rez De Chaussée Avec Jardin Et Piscine,,Prix non spécifié,Immobilier,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/tunis/el-menzah-9/s-3-rez-de-chausse-avec-jardin-et-piscine/68e9121e3e7ffb8ac157f26e/,2026-02-25 13:14:17.284081,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:17.284081""}"
tayara,https://www.tayara.tn,S +1 Situé Au Premier étage,,Prix non spécifié,Immobilier,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/tunis/el-menzah-9/s-1-situ-au-premier-tage/68e8deb253fa637575793e16/,2026-02-25 13:14:17.972104,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:17.972104""}"
tayara,https://www.tayara.tn,S +2 au 4 éme étage,,Prix non spécifié,Immobilier,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/tunis/el-menzah-9/s-2-au-4-me-tage/68e8f1543e7ffb8ac157d92a/,2026-02-25 13:14:18.887909,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:18.887909""}"
