source_site,site_url,title,description,price_numeric,price_text,property_type,location,city,region,surface,rooms,bedrooms,bathrooms,floor,total_floors,furnished,new_building,with_photo,photo_urls,publication_date,agent_name,phone,email,link,metadata,source_agent
tunisie_annonce,http://www.tunisie-annonce.com,Maison style arabi ds 335m2 a el h,,280000.0,280 000,App. 4 pièc,Cite Touristiqu,Touristiqu,Cite,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3351575&titre=Maison style arabi ds 335m2 a el haouaria cap bon,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=11705&amp;rech_cod_loc=117051""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Villa neuve des 275m2 a la mer el,,340000.0,340 000,Maisons,Cite Touristiqu,Touristiqu,Cite,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3353994&titre=Villa neuve des 275m2 a la mer el haouaria,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=11705&amp;rech_cod_loc=117051""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Une batisse el bustene sfax,,900000.0,900 000,Maisons,El Bousten,Bousten,El,,,,,,,False,False,False,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3447757&titre=Une batisse el bustene sfax,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=11815&amp;rech_cod_loc=118152""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Terrain borj louzir,,500000.0,500 000,Maisons,Borj Louzir,Louzir,Borj,,,,,,,False,False,False,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3445275&titre=Terrain borj louzir,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=10204&amp;rech_cod_loc=102040""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Opportunité à saisir  nouvelle sou,,550000.0,550 000,App. 3 pièc,La Soukra,Soukra,La,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3452002&titre=Opportunité à saisir  nouvelle soukra app s3,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=10204&amp;rech_cod_loc=102044""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Villa avec locaux commerciaux,,1200000.0,1 200 000,Maisons,El Omrane Super,Super,El,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3451999&titre=Villa avec locaux commerciaux,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=10110&amp;rech_cod_loc=101100""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Rades trois villas,,550000.0,550 000,Maisons,Rades Plage,Plage,Rades,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3446737&titre=Rades trois villas,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=10312&amp;rech_cod_loc=103122""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Maison s 2 ch style américain c vi,,95000.0,95 000,Maisons,El Haouaria,Haouaria,El,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3392657&titre=Maison s 2 ch style américain c ville el haouaria,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=11705&amp;rech_cod_loc=117051""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Bonne affaire,,350000.0,350 000,Maisons,Cite Touristiqu,Touristiqu,Cite,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3397471&titre=Bonne affaire,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=11705&amp;rech_cod_loc=117051""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Maison dans un terrain 386 m2,,150000.0,150 000,Maisons,Cite Sprols,Sprols,Cite,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3442698&titre=Maison dans un terrain 386 m2,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=11705&amp;rech_cod_loc=117051""}",tunisie_annonce
