source,url_annonce,type_bien,prix,date_insertion,gouvernorat,delegation,localite,code_postal,superficie,titre_foncier,vue_mer,etat,standing,nb_chambres,nb_salles_bain,dressing,balcon,parking,piscine,chauffage_central,jardin,etage,ascenseur,syndic,climatisation
diarkoum,https://diarkoum.tn/details.php?id_annonce=15192,Appartement,1580000,2026-01-30,Tunis,La Marsa,La Marsa,2070,155,Non,Oui,Neuf,Moyen standing,3,3,Oui,Non,Non,Oui,Non,Oui,1,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=15191,Appartement,820000,2026-01-28,Tunis,La Marsa,La Marsa,2070,140,Non,Oui,Neuf,Haut standing,2,1,Oui,Non,Oui,Non,Non,Non,1,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=15178,Appartement,380000,2025-11-13,Tunis,El aouina,El aouina,2045,107,Non,Non,Neuf,Moyen standing,3,1,Non,Oui,Oui,Non,Oui,Non,1,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=15175,Appartement,490000,2025-10-29,Ariana,Ariana Ville,Ariana Ville,2080,170,Non,Non,Neuf,Non précisé,3,1,Non,Non,Non,Non,Oui,Non,2,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=15176,Appartement,267000,2025-10-29,Tunis,Cité El Khadra,Cité El Khadra,1000,67,Non,Non,Neuf,Non précisé,1,1,Non,Non,Non,Non,Oui,Oui,2,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=8948,Appartement,285000,2025-08-22,Sousse,Sousse Jawhara,Sousse Jawhara,4000,112,Non,Non,Neuf,Haut standing,2,1,Oui,Oui,Oui,Non,Oui,Non,,Oui,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=15173,Appartement,125000,2025-08-04,Ben Arous,El Mourouj,El Mourouj,2074,82,Non,Non,Neuf,Non précisé,2,1,Non,Oui,Non,Non,Non,Non,2,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=15170,Appartement,320000,2025-06-17,Tunis,El aouina,El aouina,2045,122,Oui,Non,Neuf,Haut standing,3,2,Oui,Oui,Oui,Non,Oui,Non,5,Oui,Oui,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=15107,Appartement,363000,2025-02-27,Tunis,Cité El Khadra,Cité El Khadra,1000,88,Non,Non,Neuf,Haut standing,2,1,Non,Non,Non,Non,Oui,Non,1,Oui,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=15076,Appartement,260000,2025-02-21,Ariana,Ariana Ville,Ariana Ville,2080,59,Non,Non,Neuf,Haut standing,1,1,Oui,Non,Non,Non,Oui,Non,1,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=14998,Appartement,265000,2025-01-29,Tunis,Cité El Khadra,Cité El Khadra,1000,67,Non,Non,Neuf,Non précisé,2,1,Non,Non,Non,Non,Non,Oui,1,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14656,Appartement,389000,2024-11-27,Ariana,Ariana Ville,Ariana Ville,2080,125,Non,Non,Neuf,Haut standing,3,2,Non,Non,Oui,Non,Oui,Non,1,Oui,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=14727,Appartement,370000,2024-11-13,Tunis,La Marsa,La Marsa,2070,147,Oui,Non,Neuf,Haut standing,3,1,Oui,Oui,Oui,Non,Oui,Oui,5,Oui,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=14690,Appartement,486000,2024-11-11,Tunis,Ain zaghouan,Ain zaghouan,1100,486,Non,Non,Neuf,Moyen standing,2,2,Oui,Non,Non,Non,Oui,Non,1,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=14666,Appartement,385000,2024-10-31,Tunis,Cité El Khadra,Cité El Khadra,1000,165,Non,Non,Neuf,Moyen standing,4,2,Non,Oui,Oui,Non,Oui,Non,6,Oui,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=11223,Appartement,500000,2024-10-01,Nabeul,Hammamet,Hammamet,8050,108,Non,Non,Neuf,Haut standing,3,2,Oui,Non,Oui,Oui,Oui,Oui,2,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9023,Appartement,385000,2024-09-17,Nabeul,Hammamet,Hammamet,8050,87,Non,Non,Neuf,Haut standing,2,2,Non,Non,Non,Non,Non,Non,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9355,Appartement,390000,2024-09-17,Nabeul,Hammamet,Hammamet,8050,88,Non,Non,Neuf,Haut standing,2,1,Non,Non,Non,Non,Non,Non,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=10505,Appartement,350000,2024-08-26,Tunis,La Marsa,La Marsa,2070,144,Non,Non,Neuf,Non précisé,3,2,Oui,Non,Non,Non,Non,Oui,0,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9006,Appartement,255000,2024-07-01,Ariana,Ariana Ville,Ariana Ville,2080,156,Oui,Non,Neuf,Haut standing,3,2,Oui,Oui,Non,Non,Oui,Non,5,Oui,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=13757,Appartement,1100000,2024-06-25,Tunis,Ain zaghouan,Ain zaghouan,1100,234,Non,Non,Neuf,Haut standing,4,2,Oui,Oui,Non,Oui,Non,Non,1,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=13756,Appartement,330000,2024-06-25,Tunis,Ain zaghouan,Ain zaghouan,1100,63,Non,Non,Neuf,Non précisé,1,1,Non,Non,Non,Oui,Non,Non,3,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=13588,Appartement,139000,2024-06-06,Ben Arous,El Mourouj,El Mourouj,2074,90,Non,Non,Neuf,Non précisé,3,1,Non,Non,Non,Non,Non,Non,1,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=13587,Appartement,1500000,2024-06-06,Tunis,La Marsa,La Marsa,2070,259,Non,Non,Neuf,Non précisé,3,2,Oui,Non,Oui,Non,Non,Non,3,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=13581,Appartement,1200000,2024-06-06,Tunis,La Marsa,La Marsa,2070,219,Non,Non,Neuf,Non précisé,3,2,Non,Non,Oui,Non,Non,Non,5,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=13580,Appartement,1800000,2024-06-06,Tunis,La Marsa,La Marsa,2070,240,Non,Non,Neuf,Haut standing,3,2,Oui,Non,Oui,Non,Non,Non,3,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=13471,Appartement,270000,2024-05-28,Ben Arous,Medina Jedida,Medina Jedida,2013,125,Non,Non,Neuf,Moyen standing,3,2,Non,Non,Oui,Non,Non,Non,,Non,Non,Non
