source,url_annonce,type_bien,prix,date_insertion,gouvernorat,delegation,localite,code_postal,superficie,titre_foncier,vue_mer,etat,standing,nb_chambres,nb_salles_bain,dressing,balcon,parking,piscine,chauffage_central,terrasse,jardin,niveau,climatisation
diarkoum,https://diarkoum.tn/details.php?id_annonce=15200,Maison/Villa,1390000,2026-02-11,Nabeul,Hammamet,Hammamet,8050,840,Non,Non,Neuf,Haut standing,5,4,Oui,Non,Oui,Oui,Oui,Non,Oui,1,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=15212,Maison/Villa,1600000,2026-02-09,Tunis,La Marsa,La Marsa,2070,749,Titre Individuel,Non,Neuf,Haut standing,6,4,Oui,Oui,Oui,Oui,Non,Non,Oui,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=15186,Maison/Villa,790000,2025-12-29,Tunis,Sidi El Béchir,Sidi El Béchir,1000,781,Non,Non,Neuf,Non précisé,7,3,Non,Non,Non,Non,Oui,Non,Oui,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=15187,Maison/Villa,1300000,2025-11-25,Nabeul,Grombalia,Grombalia,8030,10000,Non,Non,Neuf,Moyen standing,1,2,Oui,Non,Non,Oui,Non,Non,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=2709,Maison/Villa,620000,2025-09-23,Tunis,Le Bardo,Le Bardo,2000,364,Oui,Non,Neuf,Non précisé,3,1,Oui,Non,Oui,Non,Non,Oui,Oui,5,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=15115,Maison/Villa,1,2025-02-28,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,236,Non,Non,Neuf,Haut standing,3,4,Non,Non,Non,Oui,Non,Oui,Oui,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=15068,Maison/Villa,1590000,2025-02-21,Tunis,El Menzah,El Menzah,1000,510,Non,Non,Neuf,Non précisé,6,2,Non,Non,Non,Non,Non,Non,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14492,Maison/Villa,1,2025-02-11,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,195,Titre Bleu,Non,Neuf,Moyen standing,3,3,Oui,Non,Oui,Oui,Non,Oui,Oui,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14424,Maison/Villa,20250000,2025-02-10,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,195,Titre Bleu,Non,Neuf,Moyen standing,3,3,Oui,Non,Oui,Oui,Non,Oui,Oui,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14631,Maison/Villa,20250000,2025-02-10,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,236,Non,Non,Neuf,Haut standing,3,4,Non,Non,Non,Oui,Non,Oui,Oui,3,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=14972,Maison/Villa,1,2025-01-22,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,195,Titre Bleu,Non,Neuf,Moyen standing,3,3,Oui,Non,Oui,Oui,Non,Oui,Oui,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14971,Maison/Villa,1,2025-01-22,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,198,Non,Non,Neuf,Moyen standing,3,3,Oui,Oui,Oui,Oui,Non,Oui,Oui,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14467,Maison/Villa,1,2025-01-14,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,195,Titre Bleu,Non,Neuf,Moyen standing,3,3,Oui,Non,Oui,Oui,Non,Oui,Oui,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14901,Maison/Villa,1600000,2025-01-03,Tunis,Cité El Khadra,Cité El Khadra,1000,491,Non,Non,Neuf,Non précisé,4,2,Non,Non,Non,Non,Non,Non,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=10152,Maison/Villa,530000,2024-12-26,Nabeul,Hammamet,Hammamet,8050,230,Non,Non,Neuf,Non précisé,3,2,Non,Non,Non,Oui,Non,Non,Oui,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=10153,Maison/Villa,750000,2024-12-26,Nabeul,Hammamet,Hammamet,8050,498,Non,Oui,Neuf,Non précisé,4,3,Oui,Non,Oui,Non,Non,Oui,Oui,3,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14655,Maison/Villa,970000,2024-11-27,Tunis,El Menzah,El Menzah,1000,550,Non,Non,Neuf,Non précisé,8,2,Non,Non,Non,Non,Non,Non,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=10718,Maison/Villa,2024000,2024-11-18,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,162,Titre Bleu,Non,Neuf,Moyen standing,3,2,Oui,Non,Non,Oui,Non,Oui,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=12097,Maison/Villa,2024000,2024-11-18,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,236,Non,Non,Neuf,Moyen standing,3,4,Non,Non,Non,Oui,Non,Oui,Oui,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=14734,Maison/Villa,850000,2024-11-14,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,228,Non,Non,Neuf,Moyen standing,3,4,Oui,Oui,Non,Oui,Non,Oui,Non,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14733,Maison/Villa,20240,2024-11-14,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,162,Titre Bleu,Non,Neuf,Moyen standing,3,2,Oui,Non,Non,Oui,Non,Oui,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14724,Maison/Villa,800000,2024-11-13,Médenine,Djerba - Midoun,Djerba - Midoun,4180,230,Non,Non,Neuf,Moyen standing,3,3,Oui,Non,Oui,Oui,Non,Oui,Non,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14714,Maison/Villa,1650000,2024-11-12,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,400,Titre Bleu,Non,Neuf,Haut standing,7,5,Oui,Non,Oui,Oui,Non,Oui,Oui,1,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=14713,Maison/Villa,1,2024-11-12,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,169,Titre Bleu,Non,Neuf,Moyen standing,3,2,Oui,Non,Non,Oui,Non,Non,Non,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14663,Maison/Villa,950000,2024-10-30,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,228,Non,Oui,Neuf,Haut standing,3,3,Oui,Non,Non,Oui,Non,Oui,Oui,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14649,Maison/Villa,400000,2024-10-18,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,170,Non,Non,Neuf,Non précisé,3,2,Oui,Non,Oui,Oui,Non,Non,Non,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14616,Maison/Villa,530000,2024-10-10,Médenine,Djerba - Midoun,Djerba - Midoun,4180,207,Non,Non,Neuf,Moyen standing,3,2,Oui,Non,Non,Oui,Non,Oui,Oui,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14597,Maison/Villa,1,2024-10-07,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,236,Non,Non,Neuf,Haut standing,3,4,Non,Non,Non,Oui,Non,Oui,Oui,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=14553,Maison/Villa,505000,2024-09-30,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,176,Non,Non,Neuf,Non précisé,3,2,Oui,Non,Non,Non,Non,Non,Non,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14466,Maison/Villa,780000,2024-09-16,Médenine,Djerba - Midoun,Djerba - Midoun,4180,256,Titre Bleu,Non,Neuf,Haut standing,4,5,Oui,Non,Oui,Oui,Non,Oui,Non,1,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=14433,Maison/Villa,600000,2024-09-10,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,214,Non,Non,Neuf,Haut standing,4,2,Oui,Non,Oui,Oui,Non,Oui,Oui,1,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=14427,Maison/Villa,950000,2024-09-09,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,228,Non,Oui,Neuf,Haut standing,3,3,Oui,Non,Non,Oui,Non,Oui,Oui,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14425,Maison/Villa,495000,2024-09-09,Médenine,Djerba - Midoun,Djerba - Midoun,4180,170,Titre Bleu,Non,Neuf,Haut standing,3,2,Oui,Non,Non,Oui,Non,Oui,Non,2,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=14323,Maison/Villa,450000,2024-08-22,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,193,Non,Non,Neuf,Moyen standing,3,2,Oui,Non,Oui,Oui,Non,Non,Oui,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14290,Maison/Villa,3,2024-08-18,Ben Arous,Medina Jedida,Medina Jedida,2013,356,Non,Non,Neuf,Moyen standing,3,1,Oui,Non,Oui,Non,Oui,Non,Oui,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14255,Maison/Villa,830000,2024-08-07,Médenine,Djerba - Midoun,Djerba - Midoun,4180,266,Titre Bleu,Non,Neuf,Moyen standing,3,5,Oui,Non,Oui,Oui,Non,Oui,Non,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14239,Maison/Villa,1,2024-08-05,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,296,Non,Non,Neuf,Non précisé,3,4,Oui,Non,Non,Oui,Non,Oui,Non,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14174,Maison/Villa,800000,2024-07-31,Médenine,Djerba - Midoun,Djerba - Midoun,4180,2,Non,Non,Neuf,Moyen standing,3,3,Oui,Non,Oui,Oui,Non,Oui,Non,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14167,Maison/Villa,390000,2024-07-30,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,160,Non,Non,Neuf,Non précisé,3,2,Oui,Non,Oui,Oui,Non,Oui,Oui,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=14009,Maison/Villa,950000,2024-07-16,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,228,Non,Oui,Neuf,Haut standing,3,3,Oui,Non,Non,Oui,Non,Oui,Oui,1,Non
