source,url_annonce,type_bien,prix,date_insertion,gouvernorat,delegation,localite,code_postal,superficie,titre_foncier,vue_mer,terrain_viabilise,constructible,dimensions_terrain,facade,acces_route,acces_electricite,acces_eau,vocation
diarkoum,https://diarkoum.tn/details.php?id_annonce=15201,Terrain,1538000,2026-01-14,Ariana,La Soukra,La Soukra,2036,1538,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14198,Terrain,335000,2025-09-23,Monastir,Monastir,Monastir,5000,266,Titre Bleu,Non,Oui,Oui,17.25x18.55,,Oui,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=15171,Terrain,170,2025-07-01,Manouba,Mornaguia,Mornaguia,2010,300,Non,Non,Non,Oui,,,Non,Oui,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14653,Terrain,160000,2024-10-30,Ben Arous,Rades,Rades,2040,197,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14590,Terrain,2400000,2024-10-05,Sfax,Sfax Sud,Sfax Sud,3000,3600,Non,Non,Non,Oui,,,Oui,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14556,Terrain,540000,2024-09-30,Ariana,La Soukra,La Soukra,2036,636,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14383,Terrain,60000,2024-08-31,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14296,Terrain,60000,2024-08-29,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14364,Terrain,60000,2024-08-29,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=11723,Terrain,207350,2024-08-26,Tunis,La Marsa,La Marsa,2070,319,Titre Bleu,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14294,Terrain,60000,2024-08-18,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14292,Terrain,1000000,2024-08-11,Manouba,Borj El Amri,Borj El Amri,2010,10000,Titre Individuel,Non,Non,Oui,,,Oui,Oui,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14283,Terrain,60000,2024-08-09,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14282,Terrain,60000,2024-08-09,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14278,Terrain,60000,2024-08-09,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14276,Terrain,60000,2024-08-09,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14275,Terrain,60000,2024-08-09,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14274,Terrain,60000,2024-08-09,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14270,Terrain,60000,2024-08-08,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14269,Terrain,60000,2024-08-08,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14266,Terrain,60000,2024-08-08,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14263,Terrain,60000,2024-08-08,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14262,Terrain,60000,2024-08-08,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14261,Terrain,60000,2024-08-08,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14260,Terrain,60000,2024-08-08,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14258,Terrain,60000,2024-08-07,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14254,Terrain,60000,2024-08-07,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14253,Terrain,60000,2024-08-07,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14250,Terrain,60000,2024-08-07,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14249,Terrain,60000,2024-08-07,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14248,Terrain,60000,2024-08-07,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
