2026-02-25 13:13:30.169 | INFO     | __main__:__init__:65 - ✅ Agent Tayara initialisé (headless=False)
2026-02-25 13:13:30.171 | INFO     | __main__:run:482 - 🚀 Démarrage de tayara (Selenium)
2026-02-25 13:13:52.598 | INFO     | __main__:init_driver:107 - ✅ Driver Selenium initialisé avec succès
2026-02-25 13:13:52.599 | INFO     | __main__:scrape:406 - 🔍 Recherche d'une URL valide...
2026-02-25 13:13:52.600 | INFO     | __main__:find_working_url:145 - 🔍 Test de l'URL: https://www.tayara.tn/immobilier/vente/
2026-02-25 13:13:57.102 | INFO     | __main__:find_working_url:159 - ✅ URL valide trouvée: https://www.tayara.tn/immobilier/vente/ (indicateur: annonce)
2026-02-25 13:13:57.103 | INFO     | __main__:scrape:415 - 🌐 Navigation vers https://www.tayara.tn/immobilier/vente/
2026-02-25 13:14:02.105 | INFO     | __main__:scrape:423 - 📄 Scraping page 1/3
2026-02-25 13:14:10.964 | INFO     | __main__:extract_annonces_from_page:193 - ✅ Sélecteur 'article' a trouvé 131 éléments
2026-02-25 13:14:10.965 | INFO     | __main__:extract_annonces_from_page:202 - 📊 131 annonces potentielles trouvées
2026-02-25 13:14:11.904 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #1 extraite: A vendre Local Commercial de 6...
2026-02-25 13:14:12.771 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #2 extraite: A VENDRE – Appartement S+1 Hau...
2026-02-25 13:14:13.576 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #3 extraite: A VENDRE – Appartement S+1 Hau...
2026-02-25 13:14:14.451 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #4 extraite: A vendre Local Commercial de 8...
2026-02-25 13:14:15.094 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #5 extraite: A VENDRE – Appartement S+3 Hau...
2026-02-25 13:14:15.811 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #6 extraite: A vendre Local Commercial de 1...
2026-02-25 13:14:16.645 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #7 extraite: S +3 Situé Au 1er étage...
2026-02-25 13:14:17.284 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #8 extraite: S +3 Rez De Chaussée Avec Jard...
2026-02-25 13:14:17.972 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #9 extraite: S +1 Situé Au Premier étage...
2026-02-25 13:14:18.887 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #10 extraite: S +2 au 4 éme étage...
2026-02-25 13:14:19.689 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #11 extraite: S +3 Situé Au 3ème étage Avec ...
2026-02-25 13:14:20.500 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #12 extraite: S+1 Situé Au 3ème étage...
2026-02-25 13:14:21.465 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #13 extraite: Un Très Spacieux S + 4 Avec Ja...
2026-02-25 13:14:22.080 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #14 extraite: 🏡 À vendre – Appartement S+1 a...
2026-02-25 13:14:22.785 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #15 extraite: 🏡 À vendre – Appartement S+2 a...
2026-02-25 13:14:23.622 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #16 extraite: 🏡 À vendre – Appartement S+1 a...
2026-02-25 13:14:24.626 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #17 extraite: 🏡 À vendre – Appartement S+3 a...
2026-02-25 13:14:25.675 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #18 extraite: 🏡 À vendre – Appartement S+3 a...
2026-02-25 13:14:26.318 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #19 extraite: 🏡 À vendre – Appartement S+1 a...
2026-02-25 13:14:27.202 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #20 extraite: 🏡 À vendre – Appartement S+4 a...
2026-02-25 13:14:27.827 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #21 extraite: À vendre – Appartement S+3 au ...
