source,url_annonce,type_bien,prix,date_insertion,gouvernorat,delegation,localite,code_postal,superficie,titre_foncier,vue_mer,etat,standing,nb_chambres,nb_salles_bain,dressing,balcon,parking,piscine,chauffage_central,terrasse,jardin,niveau,climatisation
menzili,https://www.menzili.tn/annonce/une-villa-avec-piscine-a-vendre-a-djerba-medenine-djerbahoumtsouk-136140,Maison/Villa,700000,2024-11-07,Médenine,Djerba-Houmt Souk,Houmt Souk,4180,198,Non,Oui,Non précisé,Haut standing,3,2,Oui,Non,Oui,Oui,Non,Oui,Oui,,Oui
menzili,https://www.menzili.tn/annonce/villa-a-vendre-a-houmt-souk-medenine-djerbahoumtsouk-141275,Maison/Villa,615000,2025-04-09,Médenine,Djerba-Houmt Souk,Houmt Souk,4180,126,Non,Non,Bon état,Moyen standing,3,2,Oui,Non,Oui,Oui,Non,Oui,Oui,,Oui
menzili,https://www.menzili.tn/annonce/une-villa-s-3-avec-piscine-a-vendre-a-houmt-souk-medenine-djerbahoumtsouk-149641,Maison/Villa,825000,2025-12-01,Médenine,Djerba-Houmt Souk,Houmt Souk,4180,187,Oui,Non,Non précisé,Moyen standing,3,2,Non,Non,Oui,Oui,Non,Oui,Oui,1,Oui
menzili,https://www.menzili.tn/annonce/villa-en-cours-de-construction-a-vendre-opportunite-a-saisir-medenine-djerbahoumtsouk-132529,Maison/Villa,250000,2024-07-01,Médenine,Djerba-Houmt Souk,Djerba,4180,143,Non,Non,Neuf,Non précisé,3,1,Non,Non,Oui,Oui,Non,Non,Non,,Non
menzili,https://www.menzili.tn/annonce/une-villa-avec-une-tres-belle-vue-de-mer-a-vendre-a-djerba-medenine-djerbahoumtsouk-132532,Maison/Villa,420000,2024-07-01,Médenine,Djerba-Houmt Souk,Djerba,4180,180,Non,Oui,Non précisé,Moyen standing,4,2,Non,Non,Oui,Oui,Non,Oui,Oui,,Non
menzili,https://www.menzili.tn/annonce/une-belle-villa-a-vendre-a-midoun-tezdaine-medenine-djerbamidoun-140634,Maison/Villa,850000,2025-03-13,Médenine,Djerba - Midoun,Tezdaine-Midoun Djerba,4180,190,Oui,Non,Non précisé,Moyen standing,2,2,Oui,Non,Oui,Oui,Non,Oui,Oui,,Oui
menzili,https://www.menzili.tn/annonce/une-maison-a-vendre-a-djerba-medenine-djerbahoumtsouk-132533,Maison/Villa,195000,2024-07-01,Médenine,Djerba-Houmt Souk,Djerba,4180,,Non,Oui,Non précisé,Non précisé,,,Non,Non,Oui,Non,Non,Non,Non,,Non
menzili,https://www.menzili.tn/annonce/vente-d-une-villa-en-cours-de-construction-a-djerba-medenine-djerbahoumtsouk-132535,Maison/Villa,250000,2024-07-01,Médenine,Djerba-Houmt Souk,Djerba,4180,,Non,Non,Neuf,Non précisé,3,1,Non,Non,Oui,Oui,Non,Non,Oui,,Non
menzili,https://www.menzili.tn/annonce/villa-a-vendre-style-djerbien-medenine-djerbahoumtsouk-390,Maison/Villa,,2017-09-21,Médenine,Djerba-Houmt Souk,Djerba-Houmt Souk,4180,150,Non,Oui,Non précisé,Moyen standing,3,2,Non,Non,Oui,Oui,Non,Oui,Oui,,Non
menzili,https://www.menzili.tn/annonce/villa-en-fin-de-construction-a-vendre-avec-piscine-medenine-djerbahoumtsouk-91539,Maison/Villa,283000,2022-07-08,Médenine,Djerba-Houmt Souk,Airport Road à côté de l'école privée Victor Hugo,4180,180,Non,Non,Neuf,Haut standing,2,1,Oui,Non,Oui,Oui,Non,Oui,Oui,1,Oui
menzili,https://www.menzili.tn/annonce/construction-villa-et-piscine-a-djerba-medenine-djerbahoumtsouk-126693,Maison/Villa,,2023-12-08,Médenine,Djerba-Houmt Souk,Houmt Souk Djerba Tunisie,4180,,Non,Non,Non précisé,Non précisé,,,Non,Non,Oui,Oui,Non,Non,Non,,Non
