source,url_annonce,type_bien,prix,date_insertion,gouvernorat,delegation,localite,code_postal,superficie,titre_foncier,vue_mer,etat,standing,nb_chambres,nb_salles_bain,dressing,balcon,parking,piscine,chauffage_central,jardin,etage,ascenseur,syndic,climatisation
afariat,https://afariat.com/annonce-%C3%A0-tunis/Immobilier/appartement-s-3-laouina-690b7c54d7752.html,Appartement,380000.0,2025-11-05,Tunis,La Marsa,L'aouina,2070,107.0,Non,Non,Neuf,Haut standing,3.0,,Non,Oui,Oui,Non,Oui,Oui,2,Non,Non,Oui
afariat,https://afariat.com/annonce-%C3%A0-nabeul/Immobilier/appartement-s-2-la-queen-691d7d59b6e0d.html,Appartement,350000.0,2025-11-19,Nabeul,Hammamet,Hammamet,8050,100.0,Non,Non,Neuf,Haut standing,2.0,,Non,Oui,Oui,Non,Oui,Oui,3,Non,Non,Oui
afariat,https://afariat.com/annonce-%C3%A0-ben-arous/Immobilier/appartement-le-feu-vert-68e8ede81788f.html,Appartement,255000.0,2025-10-10,Ben Arous,Radès,Chouchet Rades,2040,81.0,Non,Non,Neuf,Luxe,2.0,1.0,Non,Oui,Oui,Non,Oui,Oui,3,Oui,Non,Oui
afariat,https://afariat.com/annonce-%C3%A0-ariana/Immobilier/appartement-maria-s-3-690f48c34a8a9.html,Appartement,400000.0,2025-11-08,Ariana,Ariana Ville,el nasr 2,2080,136.0,Non,Non,Neuf,Haut standing,3.0,2.0,Oui,Oui,Oui,Non,Non,Oui,3,Oui,Non,Non
menzili,https://www.menzili.tn/annonce/un-appartement-s-3-tunis-sididaoud-142139,Appartement,520000.0,2025-05-07,Tunis,Sidi Daoud,Sidi Daoud,1000.0,130.0,Non,Non,Non précisé,Haut standing,3.0,3.0,Oui,Non,Oui,Non,Oui,Oui,1.0,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s-3-mourouj-3-benarous-elmourouj-147577,Appartement,190000.0,2025-10-05,Ben Arous,El Mourouj,El Mourouj,2074.0,100.0,Non,Non,Bon état,Non précisé,3.0,1.0,Non,Oui,Oui,Non,Non,Non,3.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-sur-plant-a-ennassr-2-ariana-ennasr-117833,Appartement,230000.0,2023-06-21,Ariana,Ennasr,Ennassr 2,2037.0,59.0,Non,Non,Non précisé,Non précisé,3.0,2.0,Non,Non,Oui,Non,Non,Non,,Non,Non,Non
menzili,https://www.menzili.tn/annonce/super-appartement-tres-haut-standing-a-soukra-parc-ariana-lasoukra-147202,Appartement,630000.0,2025-09-24,Ariana,La Soukra,Soukra parc,2036.0,125.0,Non,Non,Non précisé,Luxe,2.0,2.0,Oui,Non,Oui,Non,Oui,Oui,2.0,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s-2-la-queen-nabeul-hammamet-147623,Appartement,350000.0,2025-10-06,Nabeul,Hammamet,Hammamet nord,8050.0,100.0,Non,Non,Non précisé,Haut standing,2.0,1.0,Non,Non,Oui,Non,Oui,Non,,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/vente-appartement-wajih-hammamet-nabeul-hammamet-141388,Appartement,220000.0,2025-04-14,Nabeul,Hammamet,Hammamet,8050.0,80.0,Non,Non,Non précisé,Non précisé,1.0,1.0,Oui,Oui,Oui,Non,Non,Non,2.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/vente-appartement-silver-a-hammamet-nabeul-hammamet-139375,Appartement,690000.0,2025-02-07,Nabeul,Hammamet,Hammamet,8050.0,160.0,Non,Non,Neuf,Haut standing,3.0,2.0,Oui,Non,Oui,Oui,Oui,Oui,0.0,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s-1-2-3-a-vendre-ennassr-2-ariana-ennasr-116982,Appartement,230000.0,2023-06-08,Ariana,Ennasr,Ennassr 2,2037.0,81.0,Non,Non,Non précisé,Haut standing,3.0,2.0,Non,Non,Oui,Non,Non,Non,,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-quot-maria-quot-s-3-ariana-ennasr-146865,Appartement,400000.0,2025-09-15,Ariana,Ariana,Ariana,2080.0,136.0,Non,Non,Non précisé,Haut standing,3.0,2.0,Oui,Non,Oui,Non,Oui,Non,,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s-3-a-menzah-9c-ariana-menzah-141269,Appartement,550000.0,2025-04-09,Ariana,Menzah,Menzah 9c,1004.0,163.0,Non,Non,Non précisé,Haut standing,3.0,3.0,Non,Non,Oui,Non,Oui,Oui,1.0,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/bardo-bel-air-vend-appartement-au-1er-etage-tunis-lebardo-146681,Appartement,260000.0,2025-09-10,Tunis,Le Bardo,avenue whran bardo bel-air TUNIS,2000.0,100.0,Non,Non,Non précisé,Non précisé,2.0,1.0,Non,Non,Oui,Non,Oui,Oui,1.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/vendre-s-1-tunis-lebardo-147366,Appartement,,2025-09-29,Tunis,Le Bardo,Bardo,2000.0,,Non,Non,Non précisé,Moyen standing,1.0,1.0,Non,Non,Oui,Non,Oui,Non,3.0,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/A-vendre-appartement-s-3-avec-parking-proche-de-la-plage-a-mahdia-mahdia-mahdia-137178,Appartement,,2024-12-02,Mahdia,Mahdia,mahdia,5100.0,157.0,Non,Non,Neuf,Non précisé,3.0,1.0,Non,Non,Oui,Non,Non,Non,2.0,Oui,Non,Non
menzili,https://www.menzili.tn/annonce/-s-2-a-cite-riadh-1-avec-place-de-parking-sousse-sousseriadh-148715,Appartement,249000.0,2025-11-08,Sousse,bouhsina,sousse,4000.0,103.0,Non,Non,Non précisé,Moyen standing,2.0,1.0,Non,Non,Oui,Non,Oui,Non,,Oui,Non,Non
menzili,https://www.menzili.tn/annonce/vente-appart-beb-bhar-sfax-sfax-sfaxville-147869,Appartement,125000.0,2025-10-15,Sfax,Sfax Ville,Avenue Habib Bourguiba Sfax,3000.0,93.0,Non,Non,Non précisé,Non précisé,3.0,1.0,Non,Non,Oui,Non,Non,Non,,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s-2-a-vendre-a-soliman-plage-nabeul-soliman-148359,Appartement,190000.0,2025-10-30,Nabeul,Soliman,Soliman,8020.0,91.0,Non,Non,Non précisé,Non précisé,2.0,1.0,Oui,Oui,Oui,Non,Non,Non,1.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/A-vendre-studio-s0-meuble-dans-residence-avec-piscine-proche-de-la-plage-sousse-akouda-148352,Appartement,135000.0,2025-10-29,Sousse,Akouda,Akouda,4022.0,23.0,Non,Non,Non précisé,Haut standing,1.0,1.0,Non,Oui,Oui,Oui,Non,Non,1.0,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s-1-a-vendre-a-cite-jardins-tunis-citeelkhadra-148339,Appartement,267000.0,2025-10-29,Tunis,Cité El Khadra,cité jardins,1003.0,67.0,Non,Non,Neuf,Moyen standing,1.0,1.0,Non,Non,Oui,Non,Oui,Non,2.0,Oui,Non,Non
menzili,https://www.menzili.tn/annonce/a-vendre-appartement-au-lac-2-tunis-lamarsa-148335,Appartement,1050000.0,2025-10-29,Tunis,La Marsa,La Marsa,2070.0,230.0,Non,Non,Non précisé,Moyen standing,3.0,1.0,Oui,Non,Oui,Non,Oui,Non,,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/a-vendre-appartement-s-2-a-kelibia-jinen-mansoura-nabeul-kelibia-148329,Appartement,190000.0,2025-10-29,Nabeul,Kélibia,kélibia jinen mansoura,8000.0,100.0,Non,Non,Non précisé,Non précisé,2.0,1.0,Non,Non,Oui,Non,Non,Non,2.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/a-vendre-appartement-s2-avec-jardin-a-afh-mrezga-cite-el-wafa-nabeul-nabeul-148259,Appartement,450000.0,2025-10-27,Nabeul,Nabeul,Nabeul,8000.0,133.0,Non,Non,Non précisé,Haut standing,2.0,2.0,Oui,Non,Oui,Oui,Oui,Oui,,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s1-sidi-frej-ariana-lasoukra-148252,Appartement,195000.0,2025-10-27,Ariana,La Soukra,La Soukra,2036.0,75.0,Non,Non,Neuf,Haut standing,1.0,1.0,Oui,Non,Oui,Non,Oui,Non,1.0,Oui,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s2-jardin-menzah-1-ariana-mnihla-148249,Appartement,260000.0,2025-10-27,Ariana,Mnihla,Mnihla,2094.0,125.0,Titre Individuel,Non,Non précisé,Moyen standing,2.0,1.0,Non,Oui,Oui,Non,Oui,Oui,5.0,Non,Non,Non
